Ramo,Tensão de Ramo (V),Corrente de Ramo (A),Tensão de Nó (V)
1,(3.3387884169057505-4.06775246404799j),(0.44599141064965486-0.6108043275366477j),(3.3387884169057505-4.06775246404799j)
2,(1.2216086550732963+0.8919828212993091j),(0.44599141064965453-0.6108043275366482j),(4.560397071979047-3.175769642748681j)
3,(4.560397071979047-3.175769642748681j),(0.7939424106871702+1.1400992679947617j),
4,(4.560397071979047-3.175769642748681j),(-1.2399338213368256-0.5292949404581134j),
